id,Name,titleProject_id,class,score,username,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,ynm8FcHx
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,f30VOURa
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,mPd9Ffzl
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,UOjQf4Av
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,gOjTvW85
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,raxPavpH
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,iwGyjjdo
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,e0ax14Dy
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,3xbGdDsp
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,MTMzVqND
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,2WwFXhVt
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,ddUh6Rj3
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,QMliHcU0
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,mHnOvy1R
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,BeQOsIq1
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,0qbwJ2cF
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,uOUOLkCB
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,bkKG7TYB
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,kGQDC17H
19,Феклисов Константин Виталиевич,270,9т,,Феклисов_КВ,VilpSgMH
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,tReIU1Bu
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,pxAIABYf
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,4s6Baoi4
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,MqsZgwUc
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,yJ5YlQGA
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,lt8MHixr
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,YAJDuhAA
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,YrySxibk
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,mZsYHLwf
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,NnqYljoE
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,BW2bsm7l
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,uwBQu4pc
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,qU6Lg6Vg
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,QThUn3mk
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,Bbbx5Ipk
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,zNAw0c9J
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,f1qSDdu8
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,GFc2qIvD
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,71jBZlut
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,KkUC5PyS
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,ztF1yh7t
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,uCNj4unl
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,AYAMTub0
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,ZmG1KgSq
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,CnJtRDui
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,hG1u8jjk
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,shJZAoxx
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,S7JwBquN
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,ZxgtkWpR
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,wh5L3rGA
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,SMXlmLT1
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,XxboMNwO
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,hhY5nEDC
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,XCl6tJ0P
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,hPyoohwo
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,JClZMOO5
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,iSivpW8S
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,LQ30TGgw
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,vPITaebQ
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,6EfX2b79
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,2eV3cS11
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,vq7UY52c
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,o5KKv4FE
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,4bV39Lix
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,tvIMiSex
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,92YaMl1P
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,algOb4bc
67,Остюков Артур Романович,329,11и,3,Остюков_АР,wu3e1SM6
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,7iTD6dAD
69,Кузовенков Игорь Юрьевич,322,9г,,Кузовенков_ИЮ,UGlAO2aW
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,skxjoFvO
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,I4xnYgaL
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,1p02kSaS
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,QQSAdvat
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,e2yyo8kH
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,MuPFVDTH
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,ROujcSeL
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,LzrpmKzQ
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,KHoqoZTl
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,Ul3ZOPja
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,OJvg9ezJ
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,HC5IO3Q2
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,vhDlEIaH
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,Rh0ds9yN
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,Ge23tdnX
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,6baKf4Ok
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,ZBnrHQpz
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,U81vCUOu
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,PRALgju2
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,TaSH0CAy
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,f2scv4gJ
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,t84K6QjF
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,L0T4uybp
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,N3VchVsB
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,1AsOD0QY
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,mIIyFNqd
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,FJrIqza6
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,H2Pnqfx8
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,qSmYeS4c
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,e7bggWsd
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,Gv2k7LFu
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,z4SuWTPF
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,bkjENov8
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,R0q5RDed
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,QwnjxyPD
105,Арашкова Екатерина Евгеньевна,356,8х,,Арашкова_ЕЕ,duCoiMEO
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,Az1OsIxk
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,FWOKnWvx
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,hG5o1TSx
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,RTAt2fTF
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,aEdELVoc
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,8KnPQo8n
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,NoMC1gr2
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,MMTIY33w
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,FkZYecYl
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,9DBHpW3m
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,7vDJcbuy
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,IDGVJjhl
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,RnEy1MJ8
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,k0y85Thi
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,iZLveIt1
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,NxziBTL7
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,0XtLvsUx
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,znTBrx2v
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,lE8SBIjl
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,wnBNxiZB
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,6x5fcmvM
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,yDiC8l4J
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,9e1BfwGr
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,O4ZZcMQU
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,7rl6Xs5o
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,7O8uHqhR
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,1kc0dujn
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,E3ovTZhN
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,0oD92ob4
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,godn06yC
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,8JuUMrcb
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,KO5tpzKY
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,5b9Hs5Xz
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,vs7cgs01
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,c7TSMr3g
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,NrxyrZkf
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,M6TOnqQn
143,Законнова Жанна Евгеньевна,442,11и,,Законнова_ЖЕ,ZzrW9EJO
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,eY7q5sgx
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,6xIKEMoY
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,4QeSLz2b
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,uUSEcwjm
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,gCInuS1u
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,YWp7lcIW
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,1WF7N1gw
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,8oEUqbvB
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,hEWqPYdF
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,FqfGYOPE
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,j0nH4udR
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,UytmxRov
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,bUT3fVIw
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,HKC5KcTY
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,VRaBEdUB
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,O2L94kCe
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,sm4hdX9B
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,QTqP6rnd
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,xdMGF3Uh
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,2Ec6ILHe
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,SpL22Ee2
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,4ZfpruhY
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,f5oNxABe
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,872Uf3Da
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,Np10jsx7
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,DAXKyrsm
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,MjbUk6Iz
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,EItw7oxi
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,Aiq3Urn1
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,hcmmphKL
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,RPDYz9iK
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,94OyfobY
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,jkD29YI4
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,kvAGAuLr
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,WpEZOzfC
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,ChUtPu5A
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,9kWRKvGz
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,HFDPVmnr
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,TAI3gqlG
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,kFtGQEfU
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,fqk8fYKE
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,v4l9knNu
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,0G6eFkCE
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,yrTJnbrR
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,Y8fztKEw
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,QOuTSUHB
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,f1txLnGV
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,nuI8FYyD
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,90JeUAbC
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,2aOeAWM4
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,RDjKNrUe
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,hA0FdSX2
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,gWo4R7rf
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,xea4Pexn
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,lchriut4
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,4xZsqnnW
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,sObgsjA0
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,q74AgCOH
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,Upd6wzlV
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,zULczlZF
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,Ci2uYvWw
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,aQAekDAM
